โจทย์,เฉลย
I / jump / always,I always jump.
I / jump / sometimes,I sometimes jump.
I / jump / never,I never jump.
I / jump / now,I am jumping now.
I / jump / at the moment,I am jumping at the moment.
I / jump / right now,I am jumping right now.
I / jump / yesterday,I jumped yesterday.
I / jump / last week,I jumped last week.
I / jump / an hour ago,I jumped an hour ago.
I / jump / tomorrow,I will jump tomorrow.
I / jump / next week,I will jump next week.
I / jump / soon,I will jump soon.
I / sleep / always,I always sleep.
I / sleep / sometimes,I sometimes sleep.
I / sleep / never,I never sleep.
I / sleep / now,I am sleeping now.
I / sleep / at the moment,I am sleeping at the moment.
I / sleep / right now,I am sleeping right now.
I / sleep / yesterday,I slept yesterday.
I / sleep / last week,I slept last week.
I / sleep / an hour ago,I slept an hour ago.
I / sleep / tomorrow,I will sleep tomorrow.
I / sleep / next week,I will sleep next week.
I / sleep / soon,I will sleep soon.
I / walk / always,I always walk.
I / walk / sometimes,I sometimes walk.
I / walk / never,I never walk.
I / walk / now,I am walking now.
I / walk / at the moment,I am walking at the moment.
I / walk / right now,I am walking right now.
I / walk / yesterday,I walked yesterday.
I / walk / last week,I walked last week.
I / walk / an hour ago,I walked an hour ago.
I / walk / tomorrow,I will walk tomorrow.
I / walk / next week,I will walk next week.
I / walk / soon,I will walk soon.
I / run / always,I always run.
I / run / sometimes,I sometimes run.
I / run / never,I never run.
I / run / now,I am running now.
I / run / at the moment,I am running at the moment.
I / run / right now,I am running right now.
I / run / yesterday,I ran yesterday.
I / run / last week,I ran last week.
I / run / an hour ago,I ran an hour ago.
I / run / tomorrow,I will run tomorrow.
I / run / next week,I will run next week.
I / run / soon,I will run soon.
I / dance / always,I always dance.
I / dance / sometimes,I sometimes dance.
I / dance / never,I never dance.
I / dance / now,I am dancing now.
I / dance / at the moment,I am dancing at the moment.
I / dance / right now,I am dancing right now.
I / dance / yesterday,I danced yesterday.
I / dance / last week,I danced last week.
I / dance / an hour ago,I danced an hour ago.
I / dance / tomorrow,I will dance tomorrow.
I / dance / next week,I will dance next week.
I / dance / soon,I will dance soon.
I / sit / always,I always sit.
I / sit / sometimes,I sometimes sit.
I / sit / never,I never sit.
I / sit / now,I am sitting now.
I / sit / at the moment,I am sitting at the moment.
I / sit / right now,I am sitting right now.
I / sit / yesterday,I sat yesterday.
I / sit / last week,I sat last week.
I / sit / an hour ago,I sat an hour ago.
I / sit / tomorrow,I will sit tomorrow.
I / sit / next week,I will sit next week.
I / sit / soon,I will sit soon.
I / stand / always,I always stand.
I / stand / sometimes,I sometimes stand.
I / stand / never,I never stand.
I / stand / now,I am standing now.
I / stand / at the moment,I am standing at the moment.
I / stand / right now,I am standing right now.
I / stand / yesterday,I stood yesterday.
I / stand / last week,I stood last week.
I / stand / an hour ago,I stood an hour ago.
I / stand / tomorrow,I will stand tomorrow.
I / stand / next week,I will stand next week.
I / stand / soon,I will stand soon.
I / swim / always,I always swim.
I / swim / sometimes,I sometimes swim.
I / swim / never,I never swim.
I / swim / now,I am swimming now.
I / swim / at the moment,I am swimming at the moment.
I / swim / right now,I am swimming right now.
I / swim / yesterday,I swam yesterday.
I / swim / last week,I swam last week.
I / swim / an hour ago,I swam an hour ago.
I / swim / tomorrow,I will swim tomorrow.
I / swim / next week,I will swim next week.
I / swim / soon,I will swim soon.
I / learn / always,I always learn.
I / learn / sometimes,I sometimes learn.
I / learn / never,I never learn.
I / learn / now,I am learning now.
I / learn / at the moment,I am learning at the moment.
I / learn / right now,I am learning right now.
I / learn / yesterday,I learned yesterday.
I / learn / last week,I learned last week.
I / learn / an hour ago,I learned an hour ago.
I / learn / tomorrow,I will learn tomorrow.
I / learn / next week,I will learn next week.
I / learn / soon,I will learn soon.
I / shout / always,I always shout.
I / shout / sometimes,I sometimes shout.
I / shout / never,I never shout.
I / shout / now,I am shouting now.
I / shout / at the moment,I am shouting at the moment.
I / shout / right now,I am shouting right now.
I / shout / yesterday,I shouted yesterday.
I / shout / last week,I shouted last week.
I / shout / an hour ago,I shouted an hour ago.
I / shout / tomorrow,I will shout tomorrow.
I / shout / next week,I will shout next week.
I / shout / soon,I will shout soon.
you / jump / always,you always jump.
you / jump / sometimes,you sometimes jump.
you / jump / never,you never jump.
you / jump / now,you are jumping now.
you / jump / at the moment,you are jumping at the moment.
you / jump / right now,you are jumping right now.
you / jump / yesterday,you jumped yesterday.
you / jump / last week,you jumped last week.
you / jump / an hour ago,you jumped an hour ago.
you / jump / tomorrow,you will jump tomorrow.
you / jump / next week,you will jump next week.
you / jump / soon,you will jump soon.
you / sleep / always,you always sleep.
you / sleep / sometimes,you sometimes sleep.
you / sleep / never,you never sleep.
you / sleep / now,you are sleeping now.
you / sleep / at the moment,you are sleeping at the moment.
you / sleep / right now,you are sleeping right now.
you / sleep / yesterday,you slept yesterday.
you / sleep / last week,you slept last week.
you / sleep / an hour ago,you slept an hour ago.
you / sleep / tomorrow,you will sleep tomorrow.
you / sleep / next week,you will sleep next week.
you / sleep / soon,you will sleep soon.
you / walk / always,you always walk.
you / walk / sometimes,you sometimes walk.
you / walk / never,you never walk.
you / walk / now,you are walking now.
you / walk / at the moment,you are walking at the moment.
you / walk / right now,you are walking right now.
you / walk / yesterday,you walked yesterday.
you / walk / last week,you walked last week.
you / walk / an hour ago,you walked an hour ago.
you / walk / tomorrow,you will walk tomorrow.
you / walk / next week,you will walk next week.
you / walk / soon,you will walk soon.
you / run / always,you always run.
you / run / sometimes,you sometimes run.
you / run / never,you never run.
you / run / now,you are running now.
you / run / at the moment,you are running at the moment.
you / run / right now,you are running right now.
you / run / yesterday,you ran yesterday.
you / run / last week,you ran last week.
you / run / an hour ago,you ran an hour ago.
you / run / tomorrow,you will run tomorrow.
you / run / next week,you will run next week.
you / run / soon,you will run soon.
you / dance / always,you always dance.
you / dance / sometimes,you sometimes dance.
you / dance / never,you never dance.
you / dance / now,you are dancing now.
you / dance / at the moment,you are dancing at the moment.
you / dance / right now,you are dancing right now.
you / dance / yesterday,you danced yesterday.
you / dance / last week,you danced last week.
you / dance / an hour ago,you danced an hour ago.
you / dance / tomorrow,you will dance tomorrow.
you / dance / next week,you will dance next week.
you / dance / soon,you will dance soon.
you / sit / always,you always sit.
you / sit / sometimes,you sometimes sit.
you / sit / never,you never sit.
you / sit / now,you are sitting now.
you / sit / at the moment,you are sitting at the moment.
you / sit / right now,you are sitting right now.
you / sit / yesterday,you sat yesterday.
you / sit / last week,you sat last week.
you / sit / an hour ago,you sat an hour ago.
you / sit / tomorrow,you will sit tomorrow.
you / sit / next week,you will sit next week.
you / sit / soon,you will sit soon.
you / stand / always,you always stand.
you / stand / sometimes,you sometimes stand.
you / stand / never,you never stand.
you / stand / now,you are standing now.
you / stand / at the moment,you are standing at the moment.
you / stand / right now,you are standing right now.
you / stand / yesterday,you stood yesterday.
you / stand / last week,you stood last week.
you / stand / an hour ago,you stood an hour ago.
you / stand / tomorrow,you will stand tomorrow.
you / stand / next week,you will stand next week.
you / stand / soon,you will stand soon.
you / swim / always,you always swim.
you / swim / sometimes,you sometimes swim.
you / swim / never,you never swim.
you / swim / now,you are swimming now.
you / swim / at the moment,you are swimming at the moment.
you / swim / right now,you are swimming right now.
you / swim / yesterday,you swam yesterday.
you / swim / last week,you swam last week.
you / swim / an hour ago,you swam an hour ago.
you / swim / tomorrow,you will swim tomorrow.
you / swim / next week,you will swim next week.
you / swim / soon,you will swim soon.
you / learn / always,you always learn.
you / learn / sometimes,you sometimes learn.
you / learn / never,you never learn.
you / learn / now,you are learning now.
you / learn / at the moment,you are learning at the moment.
you / learn / right now,you are learning right now.
you / learn / yesterday,you learned yesterday.
you / learn / last week,you learned last week.
you / learn / an hour ago,you learned an hour ago.
you / learn / tomorrow,you will learn tomorrow.
you / learn / next week,you will learn next week.
you / learn / soon,you will learn soon.
you / shout / always,you always shout.
you / shout / sometimes,you sometimes shout.
you / shout / never,you never shout.
you / shout / now,you are shouting now.
you / shout / at the moment,you are shouting at the moment.
you / shout / right now,you are shouting right now.
you / shout / yesterday,you shouted yesterday.
you / shout / last week,you shouted last week.
you / shout / an hour ago,you shouted an hour ago.
you / shout / tomorrow,you will shout tomorrow.
you / shout / next week,you will shout next week.
you / shout / soon,you will shout soon.
we / jump / always,we always jump.
we / jump / sometimes,we sometimes jump.
we / jump / never,we never jump.
we / jump / now,we are jumping now.
we / jump / at the moment,we are jumping at the moment.
we / jump / right now,we are jumping right now.
we / jump / yesterday,we jumped yesterday.
we / jump / last week,we jumped last week.
we / jump / an hour ago,we jumped an hour ago.
we / jump / tomorrow,we will jump tomorrow.
we / jump / next week,we will jump next week.
we / jump / soon,we will jump soon.
we / sleep / always,we always sleep.
we / sleep / sometimes,we sometimes sleep.
we / sleep / never,we never sleep.
we / sleep / now,we are sleeping now.
we / sleep / at the moment,we are sleeping at the moment.
we / sleep / right now,we are sleeping right now.
we / sleep / yesterday,we slept yesterday.
we / sleep / last week,we slept last week.
we / sleep / an hour ago,we slept an hour ago.
we / sleep / tomorrow,we will sleep tomorrow.
we / sleep / next week,we will sleep next week.
we / sleep / soon,we will sleep soon.
we / walk / always,we always walk.
we / walk / sometimes,we sometimes walk.
we / walk / never,we never walk.
we / walk / now,we are walking now.
we / walk / at the moment,we are walking at the moment.
we / walk / right now,we are walking right now.
we / walk / yesterday,we walked yesterday.
we / walk / last week,we walked last week.
we / walk / an hour ago,we walked an hour ago.
we / walk / tomorrow,we will walk tomorrow.
we / walk / next week,we will walk next week.
we / walk / soon,we will walk soon.
we / run / always,we always run.
we / run / sometimes,we sometimes run.
we / run / never,we never run.
we / run / now,we are running now.
we / run / at the moment,we are running at the moment.
we / run / right now,we are running right now.
we / run / yesterday,we ran yesterday.
we / run / last week,we ran last week.
we / run / an hour ago,we ran an hour ago.
we / run / tomorrow,we will run tomorrow.
we / run / next week,we will run next week.
we / run / soon,we will run soon.
we / dance / always,we always dance.
we / dance / sometimes,we sometimes dance.
we / dance / never,we never dance.
we / dance / now,we are dancing now.
we / dance / at the moment,we are dancing at the moment.
we / dance / right now,we are dancing right now.
we / dance / yesterday,we danced yesterday.
we / dance / last week,we danced last week.
we / dance / an hour ago,we danced an hour ago.
we / dance / tomorrow,we will dance tomorrow.
we / dance / next week,we will dance next week.
we / dance / soon,we will dance soon.
we / sit / always,we always sit.
we / sit / sometimes,we sometimes sit.
we / sit / never,we never sit.
we / sit / now,we are sitting now.
we / sit / at the moment,we are sitting at the moment.
we / sit / right now,we are sitting right now.
we / sit / yesterday,we sat yesterday.
we / sit / last week,we sat last week.
we / sit / an hour ago,we sat an hour ago.
we / sit / tomorrow,we will sit tomorrow.
we / sit / next week,we will sit next week.
we / sit / soon,we will sit soon.
we / stand / always,we always stand.
we / stand / sometimes,we sometimes stand.
we / stand / never,we never stand.
we / stand / now,we are standing now.
we / stand / at the moment,we are standing at the moment.
we / stand / right now,we are standing right now.
we / stand / yesterday,we stood yesterday.
we / stand / last week,we stood last week.
we / stand / an hour ago,we stood an hour ago.
we / stand / tomorrow,we will stand tomorrow.
we / stand / next week,we will stand next week.
we / stand / soon,we will stand soon.
we / swim / always,we always swim.
we / swim / sometimes,we sometimes swim.
we / swim / never,we never swim.
we / swim / now,we are swimming now.
we / swim / at the moment,we are swimming at the moment.
we / swim / right now,we are swimming right now.
we / swim / yesterday,we swam yesterday.
we / swim / last week,we swam last week.
we / swim / an hour ago,we swam an hour ago.
we / swim / tomorrow,we will swim tomorrow.
we / swim / next week,we will swim next week.
we / swim / soon,we will swim soon.
we / learn / always,we always learn.
we / learn / sometimes,we sometimes learn.
we / learn / never,we never learn.
we / learn / now,we are learning now.
we / learn / at the moment,we are learning at the moment.
we / learn / right now,we are learning right now.
we / learn / yesterday,we learned yesterday.
we / learn / last week,we learned last week.
we / learn / an hour ago,we learned an hour ago.
we / learn / tomorrow,we will learn tomorrow.
we / learn / next week,we will learn next week.
we / learn / soon,we will learn soon.
we / shout / always,we always shout.
we / shout / sometimes,we sometimes shout.
we / shout / never,we never shout.
we / shout / now,we are shouting now.
we / shout / at the moment,we are shouting at the moment.
we / shout / right now,we are shouting right now.
we / shout / yesterday,we shouted yesterday.
we / shout / last week,we shouted last week.
we / shout / an hour ago,we shouted an hour ago.
we / shout / tomorrow,we will shout tomorrow.
we / shout / next week,we will shout next week.
we / shout / soon,we will shout soon.
they / jump / always,they always jump.
they / jump / sometimes,they sometimes jump.
they / jump / never,they never jump.
they / jump / now,they are jumping now.
they / jump / at the moment,they are jumping at the moment.
they / jump / right now,they are jumping right now.
they / jump / yesterday,they jumped yesterday.
they / jump / last week,they jumped last week.
they / jump / an hour ago,they jumped an hour ago.
they / jump / tomorrow,they will jump tomorrow.
they / jump / next week,they will jump next week.
they / jump / soon,they will jump soon.
they / sleep / always,they always sleep.
they / sleep / sometimes,they sometimes sleep.
they / sleep / never,they never sleep.
